visual_id,document_id,clause_row_id,clause_id,page,visual_type,source_key,related_table_row_id,source_path,crop_path,bbox_left,bbox_bottom,bbox_right,bbox_top,pixel_width,pixel_height,sha256
PDF-LAW1-U011,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:728,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00728.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00728.png,0.0,841.0,0.0,841.0,378,265,7deb91af6518cd51236c73ecedb8dbe93b7fd0305edf601a7ce9ff20876b3c19
PDF-LAW1-U012,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:729,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00729.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00729.png,76.879,452.745,281.489,595.988,378,265,9fae49d3dec81ef26650d280111db2392ae6ac0899d971e2555ad3ee91abe784
PDF-LAW1-U013,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:730,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00730.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00730.png,0.0,841.0,0.0,841.0,378,265,5b66283f97d71719f8fd75cc402232d460687cc3f21d518087c8b34762eb7183
PDF-LAW1-U014,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:731,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00731.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00731.png,76.879,303.508,281.489,446.751,378,265,5c516ed27453aa49b2fdcb250dcfc9320adfbc943cf45da8165995eae425a580
PDF-LAW1-U015,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:732,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00732.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00732.png,0.0,841.0,0.0,841.0,378,265,741905b495f5152476d3f413459c8c4525444e88511ce182fecc1dac7e4e9fc8
PDF-LAW1-U016,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:733,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00733.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00733.png,319.148,602.101,523.758,745.344,378,265,97e417234c35adc9937d6f6b7b8c3ce9f2de440e81f124bf9bf8ae4e987e004a
PDF-LAW1-U017,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:734,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00734.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00734.png,0.0,841.0,0.0,841.0,378,265,be4f5b9ed6eaee0bf921d8e542a12a8d497992393729049097993714f41e641e
PDF-LAW1-U018,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:735,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00735.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00735.png,319.148,452.745,523.758,595.988,378,265,64501f5afc215d2baab8f728a29c49817407f79e493686ffc4fc0c99ba0f910a
PDF-LAW1-U019,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:736,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00736.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00736.png,0.0,841.0,0.0,841.0,378,265,2b74c5adc91c3df1b0fe745f7445b6b28a7f6de7ba02ef7e2882c92a28b79a56
PDF-LAW1-U020,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:737,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00737.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00737.png,319.148,303.508,523.758,446.751,378,265,82edf8ef86d499b79904f245f68dac20e6696969d698ef9a4e07827918cad59d
PDF-LAW1-U021,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:739,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00739.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00739.png,0.0,841.0,0.0,841.0,378,265,9b0be04496e008b6d985c2319602430ab345b05889432b1885aedba26c702e2f
PDF-LAW1-U022,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:740,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00740.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00740.png,76.879,133.654,281.489,276.897,378,265,40efdee29bff17e78a1510ed7071f28f7957854b825cf65fec40e1ea58964404
PDF-LAW1-U023,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:741,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00741.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00741.png,0.0,841.0,0.0,841.0,378,265,9b1817713b74b9db0c18c3ec6e4cec51ed8ca944d853715316c733f57f219eda
PDF-LAW1-U024,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:742,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00742.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00742.png,319.148,133.654,523.758,276.897,378,265,917cac716855b37548499508d021e004cedb846aca2beeadcb694fd266500ab9
PDF-LAW1-U025,1,33,LAW1-2_3_2,15,PDF 고유 이미지,xref:763,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00763.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00763.png,73.88,384.06,274.772,538.451,268,221,4cd6ea83ee069ea70e0874a291a3d9dd70d402c69107dac60e6f040ebbe8b493
PDF-LAW1-U026,1,33,LAW1-2_3_2,15,PDF 고유 이미지,xref:764,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00764.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00764.png,317.949,384.06,518.841,538.451,268,221,53755851086665cf5d33392a801f95b1d7b42da33b87af3e741193b958eed070
PDF-LAW1-U027,1,33,LAW1-2_3_2,15,PDF 고유 이미지,xref:765,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00765.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00765.png,0.0,841.0,0.0,841.0,378,265,e2e6739573038e87778fb90e13fd591273a2edc73cb5303d7962c5658b59a96e
PDF-LAW1-U028,1,33,LAW1-2_3_2,15,PDF 고유 이미지,xref:766,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00766.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00766.png,76.879,623.078,281.489,766.321,378,265,17c67379e96f027e76cdd653b4558a8a04faaaa0c01a87d5f24cd111b5b26498
PDF-LAW1-U029,1,33,LAW1-2_3_2,15,PDF 고유 이미지,xref:773,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00773.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00773.png,0.0,841.0,0.0,841.0,378,265,6ba4ed1335fbe75942ce1eece4d4b3ed18014dd9560ad002f8ad0dac381e82a4
PDF-LAW1-U030,1,33,LAW1-2_3_2,15,PDF 고유 이미지,xref:774,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00774.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00774.png,319.148,623.078,523.758,766.321,378,265,73c9e698c510299fc3c0e6a1f929ccfdd0b1601e465fb8a8627650e85b68dc58
PDF-LAW1-U031,1,34,LAW1-2_3_3,16,PDF 고유 이미지,xref:786,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00786.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00786.png,0.0,841.0,0.0,841.0,903,632,313fe6be51559e02ec1321f8053309025a663960772bac5bfcd44eba29beddd1
PDF-LAW1-U032,1,34,LAW1-2_3_3,16,PDF 고유 이미지,xref:787,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00787.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00787.png,86.114,588.436,302.718,739.95,903,632,a08903e67e7e5c7d3d1ff56f922e5b7662e7195490a45ca5c76e89a873be7513
PDF-LAW1-U033,1,34,LAW1-2_3_3,16,PDF 고유 이미지,xref:788,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00788.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00788.png,0.0,841.0,0.0,841.0,903,632,d004712b04acb4a25075542d24fb6b62e71cecc40af8c63cad7782cfeb008f7f
PDF-LAW1-U034,1,34,LAW1-2_3_3,16,PDF 고유 이미지,xref:789,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00789.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00789.png,330.182,588.436,546.786,739.95,903,632,11c52617d40f99f235a1d3f077359683ec42a52c525355b9e754f0de3c610bef
PDF-LAW1-U035,1,39,LAW1-2_5_3,21,PDF 고유 이미지,xref:880,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00880.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00880.png,267.816,226.792,282.328,243.334,123,138,51c88fb2b831b7e7888db943c95a4a2f5e7c3af46d3fd561c9275b3fdf7570a5
PDF-LAW1-U036,1,39,LAW1-2_5_3,21,PDF 고유 이미지,xref:882,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00882.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00882.png,437.165,226.792,451.677,243.334,123,138,160c814e9675afcf78cf1549fdca59bab49510fe6cd4ffaf8fbfdc8848757afc
PDF-LAW1-U037,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1158,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01158.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01158.png,0.0,841.0,0.0,841.0,827,567,a2d283d9038b2c85d995d4ecea3e7887ef395fe4523399c8795a932f47cbe9d5
PDF-LAW1-U038,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1159,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01159.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01159.png,78.318,380.704,276.691,516.635,827,567,f80215d9fa26f262956ce172d825a6e9eab2033fee3e950b83481dace0343278
PDF-LAW1-U039,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1160,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01160.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01160.png,0.0,841.0,0.0,841.0,378,265,7deb91af6518cd51236c73ecedb8dbe93b7fd0305edf601a7ce9ff20876b3c19
PDF-LAW1-U040,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1161,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01161.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01161.png,75.799,238.899,274.172,374.83,378,265,d9deac6e47c1d09a03b1bd2ccc0a430328ecda941c0b515ad24e192ff9552dca
PDF-LAW1-U041,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1162,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01162.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01162.png,0.0,841.0,0.0,841.0,827,567,9604a54448ed129e6de8e2719632d38549de26e6b6363cd221bcfc5f29dff306
PDF-LAW1-U042,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1163,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01163.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01163.png,75.799,96.974,274.172,232.905,827,567,dba306039281202a91bd44249da3fa7ffd9c62ee32c9a84966b9ba64c30f9e7c
PDF-LAW1-U043,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1166,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01166.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01166.png,0.0,841.0,0.0,841.0,1182,827,9af1617eec687d66676b5c338efb35d1cc241442b0ef9a2aede7f90148f7f5ab
PDF-LAW1-U044,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1167,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01167.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01167.png,320.827,380.704,519.2,516.635,1182,827,73d7c5c6fbace54443d3df38dc0daf698cd33ca887f8abcb5b1557b988c70f0b
PDF-LAW1-U045,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1168,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01168.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01168.png,0.0,841.0,0.0,841.0,378,265,db6da04ee1678c44b6e0c82feb807a1b6b2e30b759a4d8c71476d94c9c7deae0
PDF-LAW1-U046,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1169,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01169.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01169.png,320.827,238.899,519.2,374.83,378,265,95d69951adbd6eb7780a7c6e1e4f6b6cca40db8c47b3b8f0bb643d338929fd26
PDF-LAW1-U047,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1170,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01170.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01170.png,0.0,841.0,0.0,841.0,827,567,49afe3cb73f20522fb53a4964db993aa1819e747b22a4d868f219e8320e14239
PDF-LAW1-U048,1,65,LAW1-3_3_2,38,PDF 고유 이미지,xref:1171,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01171.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01171.png,320.827,96.974,519.2,232.905,827,567,4d743e7fc11925b77b8680143b6cb22aa540dfeda71dd7cef571e954959fe2ba
PDF-LAW1-U049,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1188,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01188.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01188.png,0.0,841.0,0.0,841.0,1182,827,ce85e6c7be1aa8e8998bcf9aad3eb139235237ef1d77b3b07cea6ec9b7146dbb
PDF-LAW1-U050,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1189,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01189.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01189.png,75.799,595.868,274.172,731.799,1182,827,34c0f8aaa112c78c31e01322415ea625fd0aa4b9535e808a5247d17c45f9e166
PDF-LAW1-U051,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1190,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01190.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01190.png,0.0,841.0,0.0,841.0,827,567,63afd2613080c6dd5d3d9db084b18e7782a66414594041e740fcccfa8592f761
PDF-LAW1-U052,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1191,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01191.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01191.png,75.799,454.063,274.172,589.994,827,567,7bd3dd90aea59351ff4603b14fcac7f18e2729927e8e6ec50699a30d683618b0
PDF-LAW1-U053,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1192,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01192.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01192.png,0.0,841.0,0.0,841.0,827,567,d9e6b91777b240a3a41155ab7523af0f7ebdc2b72d94f2be7b68d23e0b44eb81
PDF-LAW1-U054,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1193,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01193.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01193.png,320.827,595.868,519.2,731.799,827,567,dea01b3eddc7d43837871b92f0da82631acc7c9e01f97f162d00fef4657bcfdb
PDF-LAW1-U055,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1194,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01194.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01194.png,0.0,841.0,0.0,841.0,827,567,9c4fd1d3b854e440df42d25a89460caba46eff6bc1f5728dac15658667d86385
PDF-LAW1-U056,1,65,LAW1-3_3_2,39,PDF 고유 이미지,xref:1195,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01195.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01195.png,320.827,454.063,519.2,589.994,827,567,f456f68e3e093adb108a0d59a8e378e452ceaf58f991c75a983b85abc31c7124
PDF-LAW1-U057,1,66,LAW1-3_3_3,40,PDF 고유 이미지,xref:1208,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01208.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01208.png,0.0,841.0,0.0,841.0,903,632,313fe6be51559e02ec1321f8053309025a663960772bac5bfcd44eba29beddd1
PDF-LAW1-U058,1,66,LAW1-3_3_3,40,PDF 고유 이미지,xref:1209,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01209.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01209.png,0.0,841.0,0.0,841.0,903,632,d004712b04acb4a25075542d24fb6b62e71cecc40af8c63cad7782cfeb008f7f
PDF-LAW1-U059,1,98,LAW1-4_3_2,59,PDF 고유 이미지,xref:1330,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01330.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01330.png,0.0,841.0,0.0,841.0,378,265,11752668a46f8cf745cb8be2fb5cb88f8b9635a4c9f7c9974df24008777372c7
PDF-LAW1-U060,1,98,LAW1-4_3_2,59,PDF 고유 이미지,xref:1331,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01331.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01331.png,0.0,841.0,0.0,841.0,378,265,7deb91af6518cd51236c73ecedb8dbe93b7fd0305edf601a7ce9ff20876b3c19
PDF-LAW1-U061,1,98,LAW1-4_3_2,59,PDF 고유 이미지,xref:1332,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01332.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01332.png,0.0,841.0,0.0,841.0,378,265,5b66283f97d71719f8fd75cc402232d460687cc3f21d518087c8b34762eb7183
PDF-LAW1-U062,1,98,LAW1-4_3_2,59,PDF 고유 이미지,xref:1333,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01333.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01333.png,0.0,841.0,0.0,841.0,378,265,741905b495f5152476d3f413459c8c4525444e88511ce182fecc1dac7e4e9fc8
PDF-LAW1-U063,1,98,LAW1-4_3_2,59,PDF 고유 이미지,xref:1334,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01334.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01334.png,0.0,841.0,0.0,841.0,378,265,be4f5b9ed6eaee0bf921d8e542a12a8d497992393729049097993714f41e641e
PDF-LAW1-U064,1,98,LAW1-4_3_2,59,PDF 고유 이미지,xref:1335,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01335.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01335.png,0.0,841.0,0.0,841.0,378,265,2b74c5adc91c3df1b0fe745f7445b6b28a7f6de7ba02ef7e2882c92a28b79a56
PDF-LAW1-U065,1,98,LAW1-4_3_2,60,PDF 고유 이미지,xref:1346,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01346.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01346.png,0.0,841.0,0.0,841.0,378,265,9b0be04496e008b6d985c2319602430ab345b05889432b1885aedba26c702e2f
PDF-LAW1-U066,1,98,LAW1-4_3_2,60,PDF 고유 이미지,xref:1347,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01347.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01347.png,0.0,841.0,0.0,841.0,378,265,e2e6739573038e87778fb90e13fd591273a2edc73cb5303d7962c5658b59a96e
PDF-LAW1-U067,1,98,LAW1-4_3_2,60,PDF 고유 이미지,xref:1348,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01348.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01348.png,0.0,841.0,0.0,841.0,378,265,9b1817713b74b9db0c18c3ec6e4cec51ed8ca944d853715316c733f57f219eda
PDF-LAW1-U068,1,98,LAW1-4_3_2,60,PDF 고유 이미지,xref:1349,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01349.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01349.png,0.0,841.0,0.0,841.0,378,265,6ba4ed1335fbe75942ce1eece4d4b3ed18014dd9560ad002f8ad0dac381e82a4
PDF-LAW1-U069,1,99,LAW1-4_3_3,61,PDF 고유 이미지,xref:1358,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01358.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01358.png,0.0,841.0,0.0,841.0,903,632,313fe6be51559e02ec1321f8053309025a663960772bac5bfcd44eba29beddd1
PDF-LAW1-U070,1,99,LAW1-4_3_3,61,PDF 고유 이미지,xref:1359,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01359.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01359.png,0.0,841.0,0.0,841.0,903,632,d004712b04acb4a25075542d24fb6b62e71cecc40af8c63cad7782cfeb008f7f
PDF-LAW1-U071,1,100,LAW1-4_4_1,64,PDF 고유 이미지,xref:1376,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01376.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01376.png,77.238,505.727,306.315,656.282,511,336,03d0c06105eb7de5ad4c2f7180e987052af3ca590c1ef67ef8a36221de5be731
PDF-LAW1-U072,1,100,LAW1-4_4_1,64,PDF 고유 이미지,xref:1377,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01377.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01377.png,319.508,510.402,530.355,651.608,501,336,022071ee20f0a83afdd55a3914b1211e099dbced73c55eaf3b8c55f80a3b91c2
PDF-LAW1-U073,1,109,LAW1-4_7_4,69,PDF 고유 이미지,xref:1433,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01433.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01433.png,112.02,646.693,127.971,659.399,135,106,ad0014bf0a260b5d5c749f7ccc2b7f014c84a065512fd6b33a1574c72524f7e4
PDF-LAW1-U074,1,109,LAW1-4_7_4,69,PDF 고유 이미지,xref:1444,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01444.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_01444.png,298.4,590.114,309.554,602.82,95,106,61db8c68b6a6cfcccdbd6f0937a30c714bdec4db4ef459f1bd67b10b9dd9240b
