visual_id,document_id,clause_id,page,visual_type,image_file,source_path,source_key,related_table_id,bbox_left,bbox_bottom,bbox_right,bbox_top,pixel_width,pixel_height,ocr_text,description,context_text,sha256,duplicate_group,is_primary,review_status,review_memo
LAW1-V011,LAW1,LAW1-2_3_2,15,내장 이미지,imageFile9.png,law-1_images/imageFile9.png,,,76.879,623.078,281.489,766.321,0,0,,,간선도로 / 간선도로 / 4m도로 / 사업,6a4484698bdea57370a8313f7f653ce86661f3816b7944bda6dcc7bd9b7ebe89,IMG-008,FALSE,자동 추출,
LAW1-V012,LAW1,LAW1-2_3_2,15,내장 이미지,imageFile10.png,law-1_images/imageFile10.png,,,319.148,623.078,523.758,766.321,0,0,,,간선도로 / (간선도로 연결도로 및 이면부 진출입도로 요건 미충족) / 6mn도로 / 사업불가,2c6564d9b40165be443138283c251baa1691444e47a0fe09527ff4fac3bba951,IMG-010,TRUE,자동 추출,
LAW1-V013,LAW1,LAW1-2_3_2,15,내장 이미지,imageFile11.png,law-1_images/imageFile11.png,,,73.88,384.06,274.772,538.451,0,0,,,[제1종일반주거지역과 연접하는 경우] / [제1종일반주거지역과 부분 연접하는 경우] / 밑반주거지역 / 위원회 판단 필요,fec67d0a172f43a28f75e92b0b023f1e5211d6dd63436e7e265e7c607beed278,IMG-011,TRUE,자동 추출,
LAW1-V014,LAW1,LAW1-2_3_2,15,내장 이미지,imageFile12.png,law-1_images/imageFile12.png,,,317.949,384.06,518.841,538.451,0,0,,,밑반주거지먹 / {간선도로} / 저고좀 / 위원회 판단 필요,41e17505e87c32f48a14bd40ab1d68a5493d56b11d90889d51b3a7cd22112d30,IMG-012,TRUE,자동 추출,
LAW1-V015,LAW1,LAW1-2_3_3,16,내장 이미지,imageFile13.png,law-1_images/imageFile13.png,,,86.114,588.436,302.718,739.95,0,0,,,가. 의료시설의 대상부지에 의료시설 외 용도의 건물이 있는 경우 의료시설 건물 과 의료시설 외의 건축물의 중심 또는 도로중심선을 경계로 한다. 해당 범위 의 구체적인 사항은 시장이 별도로 정할 수 있다. / [의료시설 외의 건축물의 중심] / 의료시설의대상부지 / 의료시설외,a2adff3fd807aa4d48655fd097c89d67cc6cb8b0c5865cd5737c81ed643c256c,IMG-013,TRUE,자동 추출,
LAW1-V016,LAW1,LAW1-2_3_3,16,내장 이미지,imageFile14.png,law-1_images/imageFile14.png,,,330.182,588.436,546.786,739.95,0,0,,,중심지역 / [해당 부지에 도로가 있는 경우] / 의료시설의대상부지 / 의료시설외,0aef1573d0849c7b4d0305ab518119088947d494a51f773202bf824f07c38481,IMG-014,TRUE,자동 추출,
LAW1-V017,LAW1,LAW1-3_2_2,32,내장 이미지,imageFile5.png,law-1_images/imageFile15.png,,,50.973,539.53,523.519,641.179,0,0,,,총 공급 호수의 70% 미만 / 가. 결정절차 / 사업제안서 / 통합심의위원회,58601ca926ce08c89d103111bfa3055eb5b63fc340e5093eee4f465e651948d0,IMG-005,FALSE,자동 추출,
LAW1-V018,LAW1,LAW1-3_3_1,33,내장 이미지,imageFile18.png,law-1_images/imageFile18.png,,,100.363,577.945,491.559,701.935,0,0,,,[인접 및 도로기준(예시)] / 용도지역 변경 가능 대상지 범위 / 2) / 2),f101a3e7b9b2493eb0ceb1e0b9aec0debf3bac116ab8ae0f3aadfa73439e0649,IMG-015,TRUE,자동 추출,
LAW1-V019,LAW1,LAW1-3_3_1,33,내장 이미지,imageFile7.png,law-1_images/imageFile16.png,,,95.349,394.728,281.369,520.83,0,0,,,20m 이상 간선도로 / [인접 사례(예시)] / 상업지역에 20m 이하의 도로를 사이에 인접에 해당 / 두고,a6770b85300387a13cdbc55725acd88b2a0dfa4960e800f25253a0b232beeb0a,IMG-007,FALSE,자동 추출,
LAW1-V020,LAW1,LAW1-3_3_1,33,내장 이미지,imageFile17.png,law-1_images/imageFile17.png,,,315.79,396.167,497.252,519.392,0,0,,,접 / 에 해당 / 20m 이상의 간선도로에 접 함 / 다. 사업대상지 인정 기준,d3c162bb4a4cd52c5207f8179bd3f11c8f61fabfb6f40cf8148c8e5e6723ca92,IMG-016,TRUE,자동 추출,
LAW1-V021,LAW1,LAW1-3_3_1,34,내장 이미지,imageFile21.png,law-1_images/imageFile21.png,,,128.466,667.544,544.06,738.372,0,0,,,(1) 검토 대상지 : 사업대상지 면적 중 대중교통 또는 의료시설 중심지 역내 면적이 50% 미만인 경우 (2) 추가 공공기여 : 전체 사업면적의 절반에서 대중교통 또는 의료시설 중심지역내 포함된 면적을 제외한 면적의 비율을 고려하여 산정 / ※ 공공기여 대상 면적(예시) / 0% / 50%,fd4886992928f5d8dd7fc1e52de52153e72212aefa3a387787156bb86e65ac54,IMG-017,TRUE,자동 추출,
LAW1-V022,LAW1,LAW1-3_3_2,38,내장 이미지,imageFile18.png,law-1_images/imageFile18.png,,,75.799,238.899,274.172,374.83,0,0,,,간선도로연결도로 6m 확보 / 간선도로 / 6mn도로 / 간선도로변 0,f101a3e7b9b2493eb0ceb1e0b9aec0debf3bac116ab8ae0f3aadfa73439e0649,IMG-015,FALSE,자동 추출,
LAW1-V023,LAW1,LAW1-3_3_2,38,내장 이미지,imageFile19.png,law-1_images/imageFile19.png,,,320.827,238.899,519.2,374.83,0,0,,,간선도로연결도로 6r 확보 / 간선도로 / 6rn도로 / 해,96f536c5e3da7a81d8ca3383820cf22055c187d29f5b6094969633502a9909f2,IMG-018,TRUE,자동 추출,
LAW1-V024,LAW1,LAW1-3_3_2,39,내장 이미지,imageFile20.png,law-1_images/imageFile20.png,,,75.799,454.063,274.172,589.994,0,0,,,간선도로연결도로 6 확보 / 간선도로 / 이면부 차량 진출입 / 4m도로,bd79db8664e58ff8a8cd36eac7f9d978e561a4de62d2ecdc03ee82d99b24d6df,IMG-019,TRUE,자동 추출,
LAW1-V025,LAW1,LAW1-3_3_2,39,내장 이미지,imageFile21.png,law-1_images/imageFile21.png,,,320.827,454.063,519.2,589.994,0,0,,,간선도로연결도로 6m 확보 / 간선도로 / 이면부차량 진출입 / 6m도로,fd4886992928f5d8dd7fc1e52de52153e72212aefa3a387787156bb86e65ac54,IMG-017,FALSE,자동 추출,
LAW1-V026,LAW1,LAW1-3_3_2,39,내장 이미지,imageFile11.png,law-1_images/imageFile22.png,,,74.96,213.606,275.852,367.997,0,0,,,[제1종일반주거지역과 연접하는 경우] / [제1종일반주거지역과 부분 연접하는 경우] / 제품 / 밑반주거지역,fec67d0a172f43a28f75e92b0b023f1e5211d6dd63436e7e265e7c607beed278,IMG-011,FALSE,자동 추출,
LAW1-V027,LAW1,LAW1-3_3_2,39,내장 이미지,imageFile12.png,law-1_images/imageFile23.png,,,319.028,213.606,519.92,367.997,0,0,,,민반주거지먹 / {간선도로} / 민반주거지먹 / 인반주거지력,41e17505e87c32f48a14bd40ab1d68a5493d56b11d90889d51b3a7cd22112d30,IMG-012,FALSE,자동 추출,
LAW1-V028,LAW1,LAW1-3_3_3,40,내장 이미지,imageFile13.png,law-1_images/imageFile24.png,,,68.603,585.679,285.207,737.193,0,0,,,가. 의료시설 대상부지에 의료시설 외 용도의 건축물이 있는 경우 의료시설 건축 물과 의료시설 외 건축물간의 중심선 또는 도로중심선을 경계로 한다. 해당 범위의 구체적인 사항은 시장이 별도로 정할 수 있다. / [의료시설 외의 건축물의 중심] / 의로시설의대상부지 / 의료시설외,a2adff3fd807aa4d48655fd097c89d67cc6cb8b0c5865cd5737c81ed643c256c,IMG-013,FALSE,자동 추출,
LAW1-V029,LAW1,LAW1-3_3_3,40,내장 이미지,imageFile14.png,law-1_images/imageFile25.png,,,312.672,585.679,529.276,737.193,0,0,,,중심지역 / [해당 부지에 도로가 있는 경우] / 의로시설의대상부지 / 의료시설외,0aef1573d0849c7b4d0305ab518119088947d494a51f773202bf824f07c38481,IMG-014,FALSE,자동 추출,
LAW1-V030,LAW1,LAW1-4_2_4,53,내장 이미지,imageFile5.png,law-1_images/imageFile26.png,,,71.362,255.92,543.908,357.569,0,0,,,4-2-4. 안심주택 조례 제9조에 따른 사업계획의 결정절차는 다음과 같다. / 가. 결정절차 / 사업제안서 / 통합심의위원회,58601ca926ce08c89d103111bfa3055eb5b63fc340e5093eee4f465e651948d0,IMG-005,FALSE,자동 추출,
LAW1-V031,LAW1,LAW1-4_3_1,54,내장 이미지,imageFile31.png,law-1_images/imageFile31.png,,,93.64,341.243,500.443,516.341,0,0,,,1) 준주거지역이나 일반 또는 근린상업지역에 바로 접하고 있어야 한다. 2) 준주거지역이나 일반 또는 근린상업지역과 폭 20m 이하의 도로를 사이에 두고 접하고 있어야 한다. 3) 20m 이상의 간선도로에 접하고 있어야 한다. / [인접 및 도로기준(예시)] / 용도지역 변경 가능 대상지 범위 / 2),39b3454c5fdae6ac0337f4d3702612a940d7121926d420c7eb4656f81df7050b,IMG-020,TRUE,자동 추출,
LAW1-V032,LAW1,LAW1-4_3_1,54,내장 이미지,imageFile7.png,law-1_images/imageFile27.png,,,95.349,161.344,281.369,287.446,0,0,,,20m 이상 간선도로 / [인접 사례(예시)] / 상업지역에 20m 이하의 도로를 사이에 인접에 해당 / 두고,a6770b85300387a13cdbc55725acd88b2a0dfa4960e800f25253a0b232beeb0a,IMG-007,FALSE,자동 추출,
LAW1-V033,LAW1,LAW1-4_3_1,54,내장 이미지,imageFile17.png,law-1_images/imageFile28.png,,,315.79,162.782,497.252,286.007,0,0,,,접 / 에 해당 / 20m 이상의 간선도로에 접 함 / 다. 사업대상지 인정 기준,d3c162bb4a4cd52c5207f8179bd3f11c8f61fabfb6f40cf8148c8e5e6723ca92,IMG-016,FALSE,자동 추출,
LAW1-V034,LAW1,LAW1-4_3_1,55,내장 이미지,imageFile34.png,law-1_images/imageFile34.png,,,128.138,434.594,544.501,505.908,0,0,,,"중교통 또는 의료시설 중심지역에 포함되지 않아 관련위원회의 심의를 통해 사업대상지로 인정받은 경우 추가 공공기여를 제공하여야 한다. 다만, 이 경 우 적용되는 역세권 및 의료시설 중심지역 범위는 승강장 경계로부터 250m 이내와 의료시설 대상부지 경계로부터 350m 이내를 말한 다.(1-3-1 가목을 인정받는 경우 승강장 경계로부터 350m 이내로 적용) 가) 검토 대상지 및 사업대상지 인정 시 추가 공공기여 기준 / (1) 검토 대상지: 사업대상지 면적 중 대중교통 또는 의료시설 중심지역 내 면적이 50% 미만인 경우 (2) 추가 공공기여: 전체 사업면적의 절반에서 대중교통 또는 의료시설 중심지역내 포함된 면적을 제외한 면적의 비율을 고려하여 산정 ※ 공공기여 대상 면적(예시) / 0% / 50%",d73835e792e809874013cc6ddf5ed53bed897cda836e60047db59e91645defa8,IMG-021,TRUE,자동 추출,
LAW1-V035,LAW1,LAW1-4_3_2,59,내장 이미지,imageFile29.png,law-1_images/imageFile29.png,,,76.879,510.641,281.489,653.884,0,0,,,간선도로변 / (사업가능) / 간선도로변이 / 좀,655c1bf933e5449eb8ccbfe9de7161e6592224b5f7683892fbe1d25448092430,IMG-022,TRUE,자동 추출,
LAW1-V036,LAW1,LAW1-4_3_2,59,내장 이미지,imageFile30.png,law-1_images/imageFile30.png,,,319.148,510.641,523.758,653.884,0,0,,,이면도로변 / (사업가능) / 이면도로변 0 / 간선도로,75c937235501ec806873028455d73a8e39b6f97a0b3d59326d5ff5400a4f4a5a,IMG-023,TRUE,자동 추출,
LAW1-V037,LAW1,LAW1-4_3_2,59,내장 이미지,imageFile31.png,law-1_images/imageFile31.png,,,76.879,329.4,281.489,472.643,0,0,,,이면도로변 0 / 간선도로 / 6mn도로 / 간선도로변 0,39b3454c5fdae6ac0337f4d3702612a940d7121926d420c7eb4656f81df7050b,IMG-020,FALSE,자동 추출,
LAW1-V038,LAW1,LAW1-4_3_2,59,내장 이미지,imageFile32.png,law-1_images/imageFile32.png,,,319.148,329.4,523.758,472.643,0,0,,,15m 이상 / 간선도로 / 6m도로 / 이면도로변0,5bc65208dbd541f7c62871cb8b20b7522e1780e9b5a32e83fca99668dc2750ca,IMG-024,TRUE,자동 추출,
LAW1-V039,LAW1,LAW1-4_3_2,59,내장 이미지,imageFile8.png,law-1_images/imageFile33.png,,,76.879,148.158,281.489,291.401,0,0,,,이면도로변0 / 간선도로 / 6mn도로 / 간선도로변 0,1624c3b0343df2faaa5260ba1cd80ed7b6a2369c668775dee27fb1d68dabc395,IMG-009,FALSE,자동 추출,
LAW1-V040,LAW1,LAW1-4_3_2,59,내장 이미지,imageFile34.png,law-1_images/imageFile34.png,,,319.148,148.158,523.758,291.401,0,0,,,간선도로변 0 / 간선도로 / 6m도로 / 이면도로변 0,d73835e792e809874013cc6ddf5ed53bed897cda836e60047db59e91645defa8,IMG-021,FALSE,자동 추출,
LAW1-V041,LAW1,LAW1-4_3_2,60,내장 이미지,imageFile9.png,law-1_images/imageFile35.png,,,76.879,452.745,281.489,595.988,0,0,,,간선도로 / 간선도로 / 사업 / 불가,6a4484698bdea57370a8313f7f653ce86661f3816b7944bda6dcc7bd9b7ebe89,IMG-008,FALSE,자동 추출,
LAW1-V042,LAW1,LAW1-4_3_2,60,내장 이미지,imageFile10.png,law-1_images/imageFile36.png,,,319.148,452.745,523.758,595.988,0,0,,,간선도로 / (간선도로 연결도로 및 이면부 진출입도로 요건 미충족) / 6m도로 / 사업불가,2c6564d9b40165be443138283c251baa1691444e47a0fe09527ff4fac3bba951,IMG-010,FALSE,자동 추출,
LAW1-V043,LAW1,LAW1-4_3_2,60,내장 이미지,imageFile11.png,law-1_images/imageFile37.png,,,80.597,223.915,270.215,369.676,0,0,,,[제1종일반주거지역과 연접하는 경우] / [제1종일반주거지역과 부분 연접하는 경우] / 일반주거지역 / 위원회 판단 필요,fec67d0a172f43a28f75e92b0b023f1e5211d6dd63436e7e265e7c607beed278,IMG-011,FALSE,자동 추출,
LAW1-V044,LAW1,LAW1-4_3_2,60,내장 이미지,imageFile12.png,law-1_images/imageFile38.png,,,324.665,223.915,514.403,369.676,0,0,,,밑반주거지먹 / {간선도로) / 저고품 / 제]품,41e17505e87c32f48a14bd40ab1d68a5493d56b11d90889d51b3a7cd22112d30,IMG-012,FALSE,자동 추출,
LAW1-V045,LAW1,LAW1-4_3_3,61,내장 이미지,imageFile13.png,law-1_images/imageFile39.png,,,67.164,585.679,283.768,737.193,0,0,,,가. 의료시설의 대상부지에 의료시설 외 용도의 건물이 있는 경우 의료시설 건물 과 의료시설 외의 건축물의 중심 또는 도로중심선을 경계로 한다. 해당 범위 의 구체적인 사항은 시장이 별도로 정할 수 있다. / [의료시설 외의 건축물의 중심] / 의료시설의대상부지 / 의료시설외,a2adff3fd807aa4d48655fd097c89d67cc6cb8b0c5865cd5737c81ed643c256c,IMG-013,FALSE,자동 추출,
LAW1-V046,LAW1,LAW1-4_3_3,61,내장 이미지,imageFile14.png,law-1_images/imageFile40.png,,,311.233,585.679,527.837,737.193,0,0,,,중심지역 / [해당 부지에 도로가 있는 경우] / 의로시설의대상부지 / 의료시설외,0aef1573d0849c7b4d0305ab518119088947d494a51f773202bf824f07c38481,IMG-014,FALSE,자동 추출,
LAW1-V047,LAW1,LAW1-4_4_1,64,내장 이미지,imageFile41.png,law-1_images/imageFile41.png,,,77.238,505.727,306.315,656.282,0,0,,,"하지 못하는 사업대상지에 대하여, 현재 용도지역의 용적률에서 변경 용 도지역의 기본용적률 내에서 확보하는 용적률의 비율만큼 4-4-1에 다른 공공기여율을 완화하여 적용한다. / (1) 공공기여율 완화 예시 / 50096 / 상한용적률",db1a6eb3ffaf8857ef8eaa27a3cabf0f614a80a06683acd2dc145b3fc43759d8,IMG-025,TRUE,자동 추출,
LAW1-V048,LAW1,LAW1-4_4_1,64,내장 이미지,imageFile42.png,law-1_images/imageFile42.png,,,319.508,510.402,530.355,651.608,0,0,,,200%6 / [일반지역] 제2종일반주거-준주거지역상향 / 15%6 *09=13596 / 40093,8eb686fe0eee60bd6c6eb31032e95bb27372c33da1c1002f95e7d08fc61bd464,IMG-026,TRUE,자동 추출,
LAW2-V001,LAW2,,1,내장 이미지,imageFile1.png,law-2_images/imageFile1.png,,,505,720,575,790,0,0,,,"서울특별시 안심주택 공급 지원에 관한 조례 / [시행 2025. 9. 29.] [조례 제9869호, 2025. 9. 29., 일부개정]",21ae96eb948429845b6b6b2e8d0a88794c14b25582b7a55efeebb53548156df1,IMG-027,TRUE,자동 추출,
PDF-LAW1-U001,LAW1,LAW1-1_3_1,2,PDF 고유 이미지,xref_00233.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00233.png,xref:233,,98.707,474.92,312.312,577.168,1484,711,,PDF 내부에서 직접 추출하고 투명 마스크를 합성한 고유 이미지.,"LAW1-1_3_1 / 1-3-1. “대중교통 중심지역”이란 안심주택 조례 제2조제1호의 지역으로 지하철 및 버스 등 대중교통의 편리한 이용이 가능한 지역으로 다음 각 목의 어느 하나 를 말한다.
가. “역세권”이란 안심주택 조례 제2조제1호 가목의 지역을 말하며, 지하철, 국 철 및 경전철 등의 역(개통이 예정된 역을 포함한다)의 각 승강장 경계로부터 직각으로 250미터 이내의 지역을 말한다. 서울특별시장(이하 ‘시장’이라 한
다)은 다음 어느 하나에 해당하는 경우 안심주택 조례 제20조에 따른 공공지 원민간임대주택 통합심의위원회의 심의를 거쳐 역의 각 승강장 경계 및 출입 구로부터 350미터 이내의 토지를 사업대상지로 지정할 수 있다. 이 경우 용 도지역 변경에 관한 사항도 350미터를 기준으로 한다.
1) 승강장 위치가 도로의 선형과 일치하지 않는 역의 경우(해당역은 충무로역, 신이문역, 왕십리역, 길음역, 신금호역, 신도림역, 신길역, 동작역, 개화산 역, 발산역, 종합운동장역, 일원역, 구룡역, 양재시민의숲역을 말한다)
[일반적인 경우]
역세권
범위
25Om
25Om
승강장
승강장 경계
[승강장이 도로선형과 일치하지 않는 경우]
역세권
25Om
범위
25Om
지하철 출입구 _
25Om
25Om
25Om
승강장
25Om
승강장 경계
지하철 출입구
2) 주변지역 여건을 고려하여 사업추진이 필요하다고 인정되는 경우
3) 개통이 예정된 역이란 지하철, 국철 및 경전철 등의 역으로서 재정사업은 사업계획이 승인된 경우, 민자사업은 사업시행자가 지정된 경우를 말한다.
나. “간선도로변”이란 안심주택 조례 제2조제1호나목의 지역을 말하며, 도로법 제14조(특별시도의 지정 ⸱ 고시)에 따라 고시 ⸱ 운영 중인 특별시도 중 1-3-1.가 목의 역세권 외부에 위치한 폭 20m 이상의 주간선도로, 보조간선도로의 경 계로",2f5e2b9d28c212e629056f641322ac19eadf7b18cee4bbc571eeaa8e97297ca8,VIS-2F5E2B9D28C2,TRUE,자동 추출,동일 이미지가 여러 페이지에 배치될 수 있음. 정확한 위치는 페이지 배치 이미지 레코드 확인.
PDF-LAW1-U002,LAW1,LAW1-1_3_1,2,PDF 고유 이미지,xref_00234.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00234.png,xref:234,,322.387,462.694,543.188,589.395,1534,881,,PDF 내부에서 직접 추출하고 투명 마스크를 합성한 고유 이미지.,"LAW1-1_3_1 / 1-3-1. “대중교통 중심지역”이란 안심주택 조례 제2조제1호의 지역으로 지하철 및 버스 등 대중교통의 편리한 이용이 가능한 지역으로 다음 각 목의 어느 하나 를 말한다.
가. “역세권”이란 안심주택 조례 제2조제1호 가목의 지역을 말하며, 지하철, 국 철 및 경전철 등의 역(개통이 예정된 역을 포함한다)의 각 승강장 경계로부터 직각으로 250미터 이내의 지역을 말한다. 서울특별시장(이하 ‘시장’이라 한
다)은 다음 어느 하나에 해당하는 경우 안심주택 조례 제20조에 따른 공공지 원민간임대주택 통합심의위원회의 심의를 거쳐 역의 각 승강장 경계 및 출입 구로부터 350미터 이내의 토지를 사업대상지로 지정할 수 있다. 이 경우 용 도지역 변경에 관한 사항도 350미터를 기준으로 한다.
1) 승강장 위치가 도로의 선형과 일치하지 않는 역의 경우(해당역은 충무로역, 신이문역, 왕십리역, 길음역, 신금호역, 신도림역, 신길역, 동작역, 개화산 역, 발산역, 종합운동장역, 일원역, 구룡역, 양재시민의숲역을 말한다)
[일반적인 경우]
역세권
범위
25Om
25Om
승강장
승강장 경계
[승강장이 도로선형과 일치하지 않는 경우]
역세권
25Om
범위
25Om
지하철 출입구 _
25Om
25Om
25Om
승강장
25Om
승강장 경계
지하철 출입구
2) 주변지역 여건을 고려하여 사업추진이 필요하다고 인정되는 경우
3) 개통이 예정된 역이란 지하철, 국철 및 경전철 등의 역으로서 재정사업은 사업계획이 승인된 경우, 민자사업은 사업시행자가 지정된 경우를 말한다.
나. “간선도로변”이란 안심주택 조례 제2조제1호나목의 지역을 말하며, 도로법 제14조(특별시도의 지정 ⸱ 고시)에 따라 고시 ⸱ 운영 중인 특별시도 중 1-3-1.가 목의 역세권 외부에 위치한 폭 20m 이상의 주간선도로, 보조간선도로의 경 계로",b5b8113a53e15edd2fbad92e3fea7095d41edc5743740ddff25ed9beecccd511,VIS-B5B8113A53E1,TRUE,자동 추출,동일 이미지가 여러 페이지에 배치될 수 있음. 정확한 위치는 페이지 배치 이미지 레코드 확인.
