document,page,occurrence,xref,smask,bbox_left,bbox_top,bbox_right,bbox_bottom,crop_file,crop_width_px,crop_height_px,crop_bytes,crop_sha256,source_unique_file,source_width_px,source_height_px,note,width_px,height_px
law-1,59,48,733,732,319.148,187.116,523.758,330.359,p059_occ048_xref00733_01.png,569,399,139003,e7cc1e37806076c0e5e8522af158644d0bb869144faa0fe08f2bea911d182dc2,xref_00733.png,378,265,,,
law-1,59,49,735,734,319.148,368.357,523.758,511.6,p059_occ049_xref00735_01.png,569,399,147703,4903459092cd4bf61b5a58e8df41bd7ae26718d7b4c503e1fd8c4b8f8c9c2db5,xref_00735.png,378,265,,,
law-1,59,50,737,736,319.148,549.599,523.758,692.842,p059_occ050_xref00737_01.png,569,399,131493,620d3f5af170cd67688a16db9ff2793ceb54b14e6ad98fabe5f4783921de808c,xref_00737.png,378,265,,,
law-1,60,,1346,0,,,,,,,,,,xref_01346.png,,,placement rectangle unavailable,378,265
law-1,60,,1347,0,,,,,,,,,,xref_01347.png,,,placement rectangle unavailable,378,265
law-1,60,,1348,0,,,,,,,,,,xref_01348.png,,,placement rectangle unavailable,378,265
law-1,60,,1349,0,,,,,,,,,,xref_01349.png,,,placement rectangle unavailable,378,265
law-1,60,51,763,0,80.597,471.324,270.215,617.085,p060_occ051_xref00763_01.png,528,406,242046,8dc09d6af95774b12138e490d3d76d040d8f9a0346bd7cb0fa4090debb14a632,xref_00763.png,268,221,,,
law-1,60,52,764,0,324.665,471.324,514.403,617.085,p060_occ052_xref00764_01.png,528,406,266847,fac3701fb52747bfccf37ed33da3a7cbb5fb871f1c5a2bb41aa2dc55d6ce62a8,xref_00764.png,268,221,,,
law-1,60,53,740,739,76.879,95.656,281.489,238.899,p060_occ053_xref00740_01.png,569,399,129023,f414bdc01174e872349882293a35d8afb6d0d032bed773d2d7142cfde4a1773f,xref_00740.png,378,265,,,
law-1,60,54,766,765,76.879,245.012,281.489,388.255,p060_occ054_xref00766_01.png,569,399,136652,5f4849a4fde24b49dfe43df48acf55442830aed847376cc4899895eb11b158ab,xref_00766.png,378,265,,,
law-1,60,55,742,741,319.148,95.656,523.758,238.899,p060_occ055_xref00742_01.png,569,399,121175,10f2559b71f24c27556c75f8ea5d4b60bcb0be156e3e05b4c812f50ca688539e,xref_00742.png,378,265,,,
law-1,60,56,774,773,319.148,245.012,523.758,388.255,p060_occ056_xref00774_01.png,569,399,126646,a01aeb3ff97cce6e4787f9f888b2736a8db99baf4a60d39b797a2965c0a41777,xref_00774.png,378,265,,,
law-1,61,,1358,0,,,,,,,,,,xref_01358.png,,,placement rectangle unavailable,903,632
law-1,61,,1359,0,,,,,,,,,,xref_01359.png,,,placement rectangle unavailable,903,632
law-1,61,57,787,786,67.164,103.807,283.768,255.321,p061_occ057_xref00787_01.png,603,422,189595,b0266826415e4717a2a965a9478eb6148c8f4a698332854a16106eff56b48ecc,xref_00787.png,903,632,,,
law-1,61,58,789,788,311.233,103.807,527.837,255.321,p061_occ058_xref00789_01.png,603,422,204249,a2568ed5772816aeafa31c6ba909aca34305b121ef73a1ffcadd14e6568b111e,xref_00789.png,903,632,,,
law-1,64,59,1376,0,77.238,184.718,306.315,335.273,p064_occ059_xref01376_01.png,637,419,128861,4754bc83b8ea1cab8b895b59972db3b84f45253abc81d942a9b898015dbb3c5a,xref_01376.png,511,336,,,
law-1,64,60,1377,0,319.508,189.392,530.355,330.598,p064_occ060_xref01377_01.png,587,393,118654,10e7c62060949578ad2ba74eb46611cda070d113c810b52d940f8dead3be28f7,xref_01377.png,501,336,,,
law-1,69,61,1433,0,112.02,181.601,127.971,194.307,p069_occ061_xref01433_01.png,45,36,422,3d4b7a3362711c4f6a8b491fb1aa9e767608e1276f9f8801bf9f32189c473315,xref_01433.png,135,106,,,
law-1,69,62,1433,0,298.4,149.117,314.351,161.823,p069_occ062_xref01433_02.png,46,36,516,f289c8767167c9bb343a9003dc84bb3c1a36f8cebf2335d562d6f6ebab672185,xref_01433.png,135,106,,,
law-1,69,63,1433,0,298.4,175.129,314.351,187.835,p069_occ063_xref01433_03.png,46,36,599,df4c51d241ec7e62868a28df8ce866fc63057e1f22c0879fad8839a3e031dc37,xref_01433.png,135,106,,,
law-1,69,64,1433,0,298.4,201.02,314.351,213.726,p069_occ064_xref01433_04.png,46,36,599,df4c51d241ec7e62868a28df8ce866fc63057e1f22c0879fad8839a3e031dc37,xref_01433.png,135,106,,,
law-1,69,65,1433,0,112.02,244.652,127.971,257.358,p069_occ065_xref01433_05.png,45,36,621,23b7a3c8b664bac74ed705ca5f74f51e22589e5db39a31e05616183a5ed0d37e,xref_01433.png,135,106,,,
law-1,69,66,1433,0,112.02,275.219,127.971,287.925,p069_occ066_xref01433_06.png,45,36,494,a80944d5c918468a63c5d66c071ac314746386932ccaebbaca4ea92e41ae535b,xref_01433.png,135,106,,,
law-1,69,67,1433,0,112.02,288.285,127.971,300.991,p069_occ067_xref01433_07.png,45,37,609,243f4f1977fa6010ac86e5844190d8cd500ec5127bb1a85886110785eaccbf1d,xref_01433.png,135,106,,,
law-1,69,68,1433,0,112.02,340.188,127.971,352.894,p069_occ068_xref01433_08.png,45,37,441,669061456b0ec4f1e6d65d2c864dd721e3dfd899cbda1d8275cdb1f4a9e8f47a,xref_01433.png,135,106,,,
law-1,69,69,1433,0,298.4,301.231,314.351,313.937,p069_occ069_xref01433_09.png,46,37,587,b308414bb49011be345aceac553574fc18d624a4b33e651e864ed87d730ba5ac,xref_01433.png,135,106,,,
law-1,69,70,1433,0,112.02,390.293,127.971,402.999,p069_occ070_xref01433_10.png,45,36,854,7677e5638f308d8f778894ccaf91ec21a65951e0f1b10ab655b06115a6cbf427,xref_01433.png,135,106,,,
law-1,69,71,1433,0,298.4,377.227,314.351,389.933,p069_occ071_xref01433_11.png,46,37,547,e8764c97a6314db749c1bc5fc09d968dbf15387c9bc9759de84a584997b642d3,xref_01433.png,135,106,,,
law-1,69,72,1433,0,112.02,427.333,127.971,440.039,p069_occ072_xref01433_12.png,45,36,352,6c6653a3a16bc127ac0fce58733cb772b008482df5c1e5c0b23cbb38b112f903,xref_01433.png,135,106,,,
law-1,69,73,1433,0,112.02,453.344,127.971,466.05,p069_occ073_xref01433_13.png,45,36,603,be43a4251f8adbd95fcb05ed5cdcbc52483bde685ae2c6b05b851ce034ee31ba,xref_01433.png,135,106,,,
law-1,69,74,1433,0,298.4,427.333,314.351,440.039,p069_occ074_xref01433_14.png,46,36,816,8628f6b596b526c715282aacb8d72d6d6fe069950006f366d4b533e9540674f7,xref_01433.png,135,106,,,
law-1,69,75,1433,0,298.4,453.344,314.351,466.05,p069_occ075_xref01433_15.png,46,36,578,75cb7ac0c02740644874114d9bd93f1579a7d06fc282b9ce90d0ffe9f9ca9e6e,xref_01433.png,135,106,,,
law-1,69,76,1433,0,112.02,490.384,127.971,503.09,p069_occ076_xref01433_16.png,45,36,499,915d22efbe78617455e98e84499d05a0c64ca10c5e30d502e05a128b0609a43a,xref_01433.png,135,106,,,
law-1,69,77,1433,0,112.02,516.395,127.971,529.101,p069_occ077_xref01433_17.png,45,36,366,af61a022a908223520d36c829052f42cef881e408d8f3226bd954801dd73c0fd,xref_01433.png,135,106,,,
law-1,69,78,1433,0,112.02,555.353,127.971,568.059,p069_occ078_xref01433_18.png,45,36,371,2fefa74f2d2706efabd8236501d15011819d84b3a5e04206a5a5fc3077b300d4,xref_01433.png,135,106,,,
law-1,69,79,1444,0,298.4,238.18,309.554,250.886,p069_occ079_xref01444_01.png,32,36,295,805ad859de8e9be6cf1b725765d9c03d38fdf1b41b809c618b3f4c851219d704,xref_01444.png,95,106,,,
